# mean, investigation_time=50.0
lon,lat,PGA-0.1
141.06084,-4.49661,5.884197E-01
141.06088,-4.58654,5.735426E-01
141.06093,-4.67647,5.623298E-01
141.06098,-4.76640,5.507687E-01
141.06102,-4.85634,5.595481E-01
141.06107,-4.94627,5.607548E-01
141.06112,-5.03620,5.574393E-01
141.06117,-5.12613,5.486442E-01
141.06122,-5.21607,5.361470E-01
141.06128,-5.30600,5.258489E-01
141.06133,-5.39593,5.094163E-01
141.06138,-5.48586,4.889936E-01
141.06144,-5.57579,4.544851E-01
141.06149,-5.66573,4.220913E-01
141.06155,-5.75566,3.919488E-01
141.06161,-5.84559,3.555617E-01
141.06167,-5.93552,3.244401E-01
141.06173,-6.02545,2.977249E-01
141.06179,-6.11539,2.716773E-01
141.06185,-6.20532,2.465602E-01
141.06191,-6.29525,2.243763E-01
141.06197,-6.38518,2.046617E-01
141.06204,-6.47512,1.858092E-01
141.06210,-6.56505,1.699441E-01
141.06217,-6.65498,1.565062E-01
141.06224,-6.74491,1.448143E-01
141.06230,-6.83484,1.340567E-01
141.06237,-6.92478,1.245139E-01
141.06244,-7.01471,1.157990E-01
141.06251,-7.10464,1.077433E-01
141.06258,-7.19457,1.001408E-01
141.06266,-7.28451,9.304716E-02
141.06273,-7.37444,8.659958E-02
141.06280,-7.46437,8.074147E-02
141.06288,-7.55430,7.550867E-02
141.06295,-7.64423,7.087646E-02
141.06303,-7.73417,6.689433E-02
